Автор,Место работы автора,Адресат,Специализация адресата,Содержание,Примечание
Лазарев В.Ф.,Департамент образования Ивановской области,Тымчиков А.Ю.,Сертификация экспертов WS,назначен главн эксперт III региональн чемпионат молод профессионал ворлдскиллс росс ивановск област компетенц парикмахерск искусств, 
Геворкян Е.Н.,"Департамент образования г.Москвы Государственное автономное образовательное учреждение высшего образования г.Москвы ""Московский городской педагогический университет""",Уразов Р.Н.,Генеральный директор,включен компетенц учител основн средн школ учител технолог список компетенц национальн межвузовск чемпионат молод профессионал ворлдскиллс росс, 
Адамова Н.В.,Министерство образования и науки республики Марий Эл,"Уразов Р.Н.
Дмитриев М.Г.",Административный директор,участ заседан оргкомитет региональн чемпионат котор состо 20 декабр 2017 г. йошкар-ол, 
Глебов Н.Б.,"ФГБОУ ВО ""ГУМРФ имени адмирала С.О. Макарова""",Лысова С.И.,Вузовские чемпионаты,заявк ассоциирова партнерств,оригинал приложен переда тунин
Федотов В.Е.,"ООО ""Инфраструктурные инвестиции РВК""",Уразов Р.Н.,Генеральный директор,приглашен приня участ рабоч совещан организац работ площадк инновацион клуб котор состо 21 декабр 2017г 10:00, 
Галанина М.А.,"ГАПОУ ТО ""Тюменский техникум индустрии питания, коммерции и сервиса""",Куколев С.В.,Вопросы аккредитации,передач имуществ безвозмездн пользован, 
Максимов С.А.,Амурский судостроительный завод,Уразов Р.Н.,Генеральный директор,направлен оригина соглашен сотрудничеств согласован,документ приложен сшит оригинал приложен переда доронин ю. 26.12.2017
Головнин А.Н.,"Министерство образования, науки и инновационной политики Новосибирской области",Крайчинская С.Б.,Вопросы повышения квалификации,заявк участ программ повышен квалификац академ ворлдскиллс, 
Жумабекова Айя,ПромСтрой-Астана,"Тымчиков А.Ю.
Никул Е.В.
Досканова А.В.",Административный директор,приглашен союз приня участ XIX казахстанск международн выставк промстрой-аста 2018, 
Дворкович А.В.,Правительство Российской Федерации,Уразов Р.Н.,Генеральный директор,перечен первоочередн мер расширен государствен поддержк предприят участник региональн программ повышен производительн труд поддержк занят, 
Огородова Л.М.,Министерство образования и науки РФ. Заместитель министра,"Уразов Р.Н.
Глушко Д.Е.",Административный директор,предоставлен информац част компетенц вопрос учет результат демоэкзам стандарт ворлдскиллс присвоен квалификац протокол заседан организацион комитет 21 ноябр 2017г №7 раздел I пункт 2 ; письм аппарат правительств рф 4 декабр 2017г №п8-63611, 
Алоян Р.М.,"ФГБОУ ВО ""Ивановский государственный политехнический университет""",Глушко Д.Е.,Специалист по региональным чемпионатам,направлен заявк отбор образовательн организац высш образован участ пилотн апробац проведен демонстрацион экзам стандарт ворлдскиллс росс 2018 год,оригинал приложен переда смирнов л
Мухина О.С.,Министерство финансов Российской Федерации,Гонтарь М.А.,Поздравления,участ делов программ перв отраслев чемпионат стандарт ворлдскиллс сфер информацион технолог DigitalSkills, 
Крылова А.А.,Институт развития образования Сахалинской области,Глушко Д.Е.,Специалист по региональным чемпионатам,проведен региональн чемпионат котор состо 5-9 феврал 2019г южно-сахалинск, 
Попов П.А.,Министерство обороны РФ,Уразов Р.Н.,Генеральный директор,предложен выступ партнер международн военно-техническ форум армия-2018 частност партнер специальн проект форум инновацион клуб, 
Аристова В.А.,"КГА ПОУ ""Губернаторский авиастроительный колледж г. Комсомольск-на-Амуре""",Куколев С.В.,Вопросы аккредитации,проект договор передач тренировочн полигон мцк, 
Левченко А.Н.,Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО,Уразов Р.Н.,Генеральный директор,предоставлен отчет срок 18 декабр контрольн точк приоритетн проект рабоч кадр передов технолог, 
Левченко А.Н.,Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО,Уразов Р.Н.,Генеральный директор,предоставлен информац фактическ значен показател проект количеств специализирова центр компетенц субъект рф аккредитова стандарт ворлдскиллс росс 14 декабр, 
Ибрагимова Н.Е.,"Государственная корпорация ""Банк развития и внешнеэкономической деятельности","Глушко Д.Е.
Суперекин И.Ю.",Административный директор,направлен протокол заседан рабоч орга приоритетн программ комплексн развит моногород 7 декабр 2017 г. №25, 
Чебаков С.А.,Министерство связи и массовых коммуникаций РФ,Уразов Р.Н.,Генеральный директор,участ перв отраслев чемпионат стандарт WorldSkills сфер информацион технолог DigitalSkills, 
Тунев М.В.,Правительство Республики Тыва,Глушко Д.Е.,Специалист по региональным чемпионатам,участ перв отраслев чемпионат стандарт ворлдскиллс, 
Храпова Л.А.,"Департамент образования, культуры и спорта Ненецкого автономного округа",Крайчинская С.Б.,Вопросы повышения квалификации,направлен заявк участ программ повышен квалификац, 
Сухарев И.К.,Государственная Дума Федерального Собрания Российской Федерации,Федосеев А.И.,Административный директор,приглашен приня участ заседан экспертн групп котор состо 14.12.17 14:15, 
Огородова Л.М.,Министерство образования и науки РФ. Заместитель министра,Уразов Р.Н.,Генеральный директор,рассмотрен предложен внесен изменен план основн мероприят подготовк проведен миров чемпионат г. казан 2019г, 
Морозов С.И.,Губернатор Ульяновской области,Уразов Р.Н.,Генеральный директор,исполнен соглашен част обеспечен заключен договор предоставлен оборудован тренировочн полигон мцк безвозмездн пользован союз, 
Лейбов А.М.,"ГАУ ДПО НСО ""Новосибирский центр развития профессионального образования""",Тымчиков А.Ю.,Сертификация экспертов WS,утвержден кандидатур эксперт, 
Хайбуллов К.А.,"ФГБОУ ВО ""МГТУ ""Станкин""",Уразов Р.Н.,Генеральный директор,предложен стратегическ сотрудничеств мгту станкин,контакт связ : фгбо мгту станкин хайбулл константин анатольевич к.т.н. доцент каф технолог машиностроения +7-909-690-10-95 ka2011 @ mail.ru фгбо мгту станкин рязан денис юрьевич ст. преп. каф технолог машиностроен +7-915-155-88-58 r.denis.86 @ mail.ru
Щелкун Н.И.,РКЦ Хабаровского края,Тымчиков А.Ю.,Сертификация экспертов WS,предоставлен информац результат голосован экспертн комисс конкурс прав проведен отборочн соревнован участ финал национальн чемпионат, 
Антонова О.Г.,Департамент образования Ивановской области,Крайчинская С.Б.,Вопросы повышения квалификации,участ программ академ ворлдскиллс росс 2018 год, 
Якимова Н.В.,"Министерство образования, науки и молодежной политики республики Коми",Глушко Д.Е.,Специалист по региональным чемпионатам,участ перв отраслев чемпионат стандарт WorldSkills сфер информацион технолог DigitalSkills, 
Баринов И.А.,Правительство Калининградской области,Глушко Д.Е.,Специалист по региональным чемпионатам,согласован дорожн карт реализац проект программ движен молод профессионал Worldskills Russia территор калининградск област,оригина приложен переда орлов
Черноскутова И.А.,Министерство образования и науки Российской Федерации,Уразов Р.Н.,Генеральный директор,протокол совещан директор департамент государствен политик сфер подготовк рабоч кадр дпо, 
Картошкин С.А.,Министерство образования и науки Российской Федерации,Суперекин И.Ю.,Административный директор,проведен совещан 14 декабр 2017 г. 16:00, 
Поминов А.И.,Министерство образования и науки Республики Татарстан,Глушко Д.Е.,Специалист по региональным чемпионатам,предоставлен информац количеств школьник, 
Ушакова Е.А.,"АО ""Международный аэропорт Шереметьево""
Жидков А.А.",Уразов Р.Н.,Генеральный директор,претенз организац результат проведен IV открыт региональн чемпионат, 
Jane Stokie,WorldSkills International,Уразов Р.Н.,Генеральный директор,предоставлен контактн информац, 
Мазуркевич Н.В.,Департамент труда и занятости населения Тюменской области,Гонтарь М.А.,Поздравления,участ делов программ чемпионат, 
Рябова Е.О.,Департамент образования Вологодской области,Глушко Д.Е.,Специалист по региональным чемпионатам,организац льготн проезд мероприят миров чемпионат профессиональн мастерств Worldskills Competition 2019, 
Брызгалова С.М.,Министерство образования и науки РФ. Департамент государственной политики в сфере воспитания детей и молодежи,Уразов Р.Н.,Генеральный директор,предоставлен информац организац поддержк региональн олимпиад чемпионат конкурс фестивал робототехник, 
Соболев С.И.,Министерство образования Республики Мордовия,Крайчинская С.Б.,Вопросы повышения квалификации,заявк республик мордов курс повышен квалификац преподавател образовательн организац 2018 год, 
Лазарев В.Ф.,Департамент образования Ивановской области,Крайчинская С.Б.,Вопросы повышения квалификации,просьб предостав сведен преподавател прошедш обучен академ ворлдскиллс, 
Лукин А.В.,Прибалтийский судостроительный техникум,Куколев С.В.,Вопросы аккредитации,направлен документ аккредитац сцк сварочн технолог, 
Михеева А.В.,ОСП № 1 по Ленинскому району города Кирова УФССП России по Кировской области,Уразов Р.Н.,Генеральный директор,постановлен обращен взыскан заработн плат, 
Ерохов А.Н.,Региональный координационный центр Брянской области,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен документ согласован,изменен делов программ
Хватков В.М.,Администрация Губернатора Астраханской области. Управление по взаимодействию с воинскими частями и правоохранительными органами,Уразов Р.Н.,Генеральный директор,направлен информац вопрос отсрочк призыв воен служб гражданин рыжов в.а, 
Карачевцева Л.В.,Комитет образования и науки Курской области,Гонтарь М.А.,Поздравления,участ мероприят IV чемпионат сквозн рабоч професс высокотехнологичн отрасл промышлен WorldSkills Hi-Tech 2017, 
Смирнова А.А.,"ГБПОУ ""Дзержинский техникум бизнеса и технологий""",Тымчиков А.Ю.,Сертификация экспертов WS,проведен процедур сертификац преподавател общепрофессиональн дисциплин профессиональн модул лесн е.а. компетенц поварск дел,оригина приложен отда крюков а.
Алексеев А.Е.,"ФГБОУ ВО ""МГУТУ им. К. Г. Разумовского""",Глушко Д.Е.,Специалист по региональным чемпионатам,направлен заявк отбор образовательн организац высш образован участ пилотн апробац проведен демонстрацион экзам стандарт ворлдскиллс росс 2018 год, 
Магомедов Ш.М.,Региональный координационный центр в Республике Дагестан,Глушко Д.Е.,Специалист по региональным чемпионатам,обращен просьб перенест срок проведен региональн чемпионат республик дагеста период 27 1 март 2018 год, 
Рябченко А.Ю.,"ГБПОУ ""Серпуховский колледж""",Уразов Р.Н.,Генеральный директор,рассмотрен утвержден компетенц офисн решен бизнес, 
Юсупова Н.Г.,"ГОУ ВО Московской области ""Государственный гуманитарно-технологический университет""",Глушко Д.Е.,Специалист по региональным чемпионатам,направлен заявк отбор образовательн организац высш образован участ пилотн апробац проведен демонстрацион экзам стандарт ворлдскиллс росс 2018 год,оригинал приложен переда смирнов л
Волощук Л.В.,"ГПОУ""Сыктывкарский политехнический техникум""",Глушко Д.Е.,Специалист по региональным чемпионатам,выдач свидетельств эксперт демонстрацион экзам стандарт ворлдскиллс росс компетенц кузовн ремонт, 
Огородова Л.М.,Министерство образования и науки Российской Федерации,Уразов Р.Н.,Генеральный директор,запрос акт итог проверк счетн палат, 
Фальков В.Н.,Тюменский государственный университет,Лысова С.И.,Вузовские чемпионаты,приглашен заседан межвузовск координацион совет, 
Дрозденко А.Ю.,Губернатор Ленинградской области,Уразов Р.Н.,Генеральный директор,согласован проект заявочн книг прав проведен чемпионат европ профессиональн мастерств EuroSkills 2022 год г. санкт-петербург, 
Иванова С.Ю.,Департамент образования и молодежной политики Новгородской области,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен информац планируем количеств школьник организац льготн проезд, 
Колокольцев В.М.,Магнитогорский государственный технический университет им.Г.И.Носова,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен заявк отбор образовательн организац высш образован участ пилотн апробац проведен демонстрацион экзам стандарт ворлдскиллс росс 2018 год, 
Семёнова Н.В.,Министерство образования Ульяновской области,Уразов Р.Н.,Генеральный директор,публикац интерв журна, 
Ерофеев В.К.,"ГБПОУ ""Астраханский государственный политехнический колледж""",Тымчиков А.Ю.,Сертификация экспертов WS,сертификац качеств эксперт союз молод профессионал рамк II открыт региональн чемпионат молод профессионал WorldSkills Russia астраханск област 11 15 декабр 2017 год, 
Семенов И.А.,"Акционерное общество ""Р-Фарм""",Недоспасова О.В.,Реклама и сотрудничество,направлен информац задержк оплат услуг оказа договор №170315019 25.04.17 №170526050 19.09.17, 
Федоренко К.А.,"Министерство образования, науки и молодежной политики Краснодарского края",Глушко Д.Е.,Специалист по региональным чемпионатам,посещен школьник краснодарск кра миров чемпионат профессиональн мастерств WorldSkills Competition 2019, 
Манакова М.В.,"ФГАОУ ВПО ""Российский государственный профессионально-педагогический университет""",Уразов Р.Н.,Генеральный директор,претенз организац перв национальн чемпионат ворлдскиллс, 
Кравченко О.А.,Региональный координационный центр в Ставропольском крае,Глушко Д.Е.,Специалист по региональным чемпионатам,проведен региональн чемпионат молод профессионал WorldSkills Russia 2018, 
Радионов А.А.,"ФГАОУ ОВ ""Южно-Уральский государственный университет""",Крайчинская С.Б.,Вопросы повышения квалификации,участ 29.11.2017 г. тематическ сесс карт развит компетенц Worldskills российск вуз, 
Назин И.Н.,Всероссийский комитет по наградам и званиям,Уразов Р.Н.,Генеральный директор,приглашен приня участ церемон награжден качеств номинант, 
Проничева Л.Р.,Департамент образования Вологодской области,Уразов Р.Н.,Генеральный директор,участ делов программ чемпионат DigitalSkills 2017, 
Кувшинников О.А.,Губернатор Вологодской области,Глушко Д.Е.,Специалист по региональным чемпионатам,участ конкурс прав проведен отборочн соревнован участ финал VI национальн чемпионат молод профессионал WorldSkills Russia, 
Трусенева С.С.,Министерство образования Калининградской области,Глушко Д.Е.,Специалист по региональным чемпионатам,планируем количеств школьник участ миров чемпионат профессиональн мастерств WorldSkills Competition 2019, 
Собина В.А.,Московский государственный институт индустрии туризма имени Ю.А.Сенкевича,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен заявк отбор образовательн организац высш образован участ пилотн апробац проведен демонстрацион экзам стандарт ворлдскиллс росс 2018 год, 
Попова Н.А.,ЧОУ ВО «Русско-британский институт управления» ,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен заявк отбор образовательн организац высш образован участ пилотн апробац проведен дем экзам стандарт ворлдскиллс росс 2018 год, 
Кравченко О.А.,Южнороссийский государственный политехнический университет им.М.И.Платова,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен заявк отбор образовательн организац высш образован участ пилотн апробац проведен дем экзам стандарт ворлдскиллс росс 2018 год, 
Васильева О.Ю.,Министерство образования и науки РФ,Уразов Р.Н.,Генеральный директор,участ заседан координацион совет модернизац систем подготовк кадр 11 декабр 2017 год 12 час, 
Боровская М.А.,Южный федеральный университет,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен заявк отбор образовательн организац высш образован участ пилотн апробац проведен дем экзам стандарт ворлдскиллс росс 2018 год, 
Семенов А.К.,Министерство транспорта Российской Федерации,Никул Е.В.,Новые компитненции,участ отраслев чемпионат стандарт WorldSkills сфер информацион технолог DigitalSkills 2017, 
Конофьев Д.С.,Департамент по делам казачества и военным вопросам Краснодарского края,Уразов Р.Н.,Генеральный директор,рассмотрен обращен предоставлен отсрочк призыв воен служб, 
Богомазов Е.А.,Правительство Вологодской области,Гонтарь М.А.,Поздравления,приглашен фина перв национальн межвузовск чемпионат молод профессионал ворлдскиллс росс, 
Исупов М.В.,Министерство образования Кировской области,Глушко Д.Е.,Специалист по региональным чемпионатам,планируем количеств школьник кировск област котор будут присутствова миров чемпионат профессиональн мастерств WorldSkills Competition 2019 г. казан 2019 г, 
Атанов И.В.,"ФГБОУ высшего образования ""Ставропольский аграрный университет""",Глушко Д.Е.,Специалист по региональным чемпионатам,направлен заявк отбор образовательн организац высш образован участ пилотн апробац проведен дем экзам стандарт ворлдскиллс росс 2018 год, 
Ласкина И.А.,"ГАПОУ МО ""МЦК - Техникум имени С.П. Королева""",Уразов Р.Н.,Генеральный директор,направлен договор безвозмездн пользован недвижим имуществ подписан, 
Апостолова Т.М.,"Департамент образования г.Москвы Государственное автономное образовательное учреждение высшего образования г.Москвы ""Московский городской педагогический университет""",Базер О.Э.,Административный директор,приглашен участ пресс-клуб мгпу проведен котор запланирова 18 22 декабр 2017г, 
Апостолова Т.М.,"Департамент образования г.Москвы Государственное автономное образовательное учреждение высшего образования г.Москвы ""Московский городской педагогический университет""",Лысова С.И.,Вузовские чемпионаты,приглашен участ пресс-клуб мгпу проведен котор запланирова 18 22 декабр 2017г, 
Биленкина И.,Управление Президента РФ по научно-образовательной политике,Уразов Р.Н.,Генеральный директор,формирован межведомствен рабоч групп совет президент рф наук образован просьб приня участ перв заседан 26.12.2017 15:00, 
Кульмач Е.Г.,Департамент образования и науки Костромской области,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен информац планируем количеств присутств миров чемпионат профессиональн мастерств WorldSkills Competition-2019 г.казан, 
Огородова Л.М.,Министерство образования и науки РФ. Заместитель министра,Уразов Р.Н.,Генеральный директор,заседан совет минобрнаук росс фгос котор состо 19.12.2017г 16:00, 
Антонова О.Г.,Департамент образования Ивановской области,Глушко Д.Е.,Специалист по региональным чемпионатам,планируем количеств школьник ивановск област котор посет площадк миров чемпионат Worldskills Kazan 2019, 
Огородова Л.М.,Министерство образования и науки Российской Федерации,Уразов Р.Н.,Генеральный директор,протокол заседан рабоч групп приоритетн проект направлен стратегическ развит рф образован рабоч кадр передов технолог, 
Огородова Л.М.,Министерство образования и науки РФ. Заместитель министра,Уразов Р.Н.,Генеральный директор,согласован проект распоряжен правительств рф поручен правительств рф 25 октябр 2017 г. №ог-п8-7115 ; письм аппарат правительств рф 24 ноябр 2017 г. № п8-61884, 
Пугач В.Н.,Вятский государственный университет,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен заявк отбор образовательн организац высш образован участ пилотн апробац проведен дем экзам стандарт ворлдскиллс росс 2018 год,оригина приложен переда смирнов л
Огородова Л.М.,Министерство образования и науки РФ. Заместитель министра,Уразов Р.Н.,Генеральный директор,направлен протокол заседан организацион комитет подготовк проведен миров чемпионат профессиональн мастерств стандарт ворлдскиллс г.казан 2019 год 21.11.2017 №7, 
Оболенский М.,"ООО ""Сандвик""",Уразов Р.Н.,Генеральный директор,задолжен оо сандвик договор №20/306/2017 11 август 2017г поставк твердосплавн продукц, 
Захарова М.Б.,Министерство образования Московской области,Гонтарь М.А.,Поздравления,проведен перв отраслев чемпионат стандарт WorldSkills сфер информацион технолог DigitalSkills, 
Кузнецов Ю.В.,Комитет образования и науки Волгоградской области,Глушко Д.Е.,Специалист по региональным чемпионатам,планируем количеств школьник котор будут участвова миров чемпионат профессиональн мастерств WorldSkills Competition-2019, 
Тимаков В.В.,Агентство по развитию человеческого капитала на Дальнем Востоке,Уразов Р.Н.,Генеральный директор,участ прем вклад развит человеческ капита дальн восток, 
Багров Ю.Н.,"ГАПОУ ""Межрегиональный центр компетенций Казанский техникум информационных технологий и связи""","Куколев С.В.
Судаков К.Ю.",Административный директор,согласован плана-график передач тренировочн полигон мцк, 
Багров Ю.Н.,"ГАПОУ ""Межрегиональный центр компетенций Казанский техникум информационных технологий и связи""","Куколев С.В.
Судаков К.Ю.",Административный директор,подписан договор безвозмездн пользован тренировочн полигон мцк, 
Федоров М.П.,Северо-Восточный Федеральный Университет имени М.К.Аммосова,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен заявк отбор образовательн организац высш образован участ пилотн апробац проведен дем экзам стандарт ворлдскиллс росс 2018 год, 
Цыдыпов Б.,Аппарат Правительства Российской Федерации,Уразов Р.Н.,Генеральный директор,направлен рассмотрен доработа минэкономразвит росс проект стратег федеральн центр компетенц сфер производительн труд, 
Король А.М.,Министерство образования Хабаровского края,"Куколев С.В.
Судаков К.Ю.",Административный директор,плане-график передач тренировочн полигон мцк, 
Пилипенко О.В.,Орловский государственный университет имени И.С. Тургенева,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен заявк отбор образовательн организац высш образован участ пилотн апробац проведен демонстрацион экзам стандарт ворлдскиллс росс 2018 год,оригинал приложен переда смирнов л
Mr David Hoey,WorldSkills International,Уразов Р.Н.,Генеральный директор,напоминан запланирова встреч январ 2018 год шанха, 
Гончарова Н.Г.,"Министерство образования, науки и молодежи Республики Крым",Гонтарь М.А.,Поздравления,участ отраслев чемпионат стандарт WorldSkills сфер информацион технолог DigitalSkills, 
Дюбенкова М.В.,Министерство образования и науки Алтайского края,Глушко Д.Е.,Специалист по региональным чемпионатам,планируем количеств школьник присутств миров чемпионат профессиональн мастерств WorldSkills Competition 2019, 
Митянина А.В.,Правительство Санкт-Петербурга,Гонтарь М.А.,Поздравления,участ отраслев чемпионат стандарт WorldSkills сфер информацион технолог DigitalSkills, 
Чупшева С.В.,Агентство стратегических инициатив по продвижению новых проектов,Уразов Р.Н.,Генеральный директор,втор заседан рабоч групп систематизац результат апробац региональн стандарт кадров обеспечен промышлен рост, 
Антонова С.А.,"Государственное образовательное учреждение среднего профессионального образования ""Колледж туризма и гостиничного сервиса"" г.Санкт-Петербурга",Гонтарь М.А.,Поздравления,благодарствен письм организац III региональн открыт чемпионат молод профессионал Worldskills Russia 2017, 
Аристова В.А.,"КГА ПОУ ""Губернаторский авиастроительный колледж г. Комсомольск-на-Амуре""",Куколев С.В.,Вопросы аккредитации,направлен эксперт прием площадок компетенц, 
Бачевский С.В.,Санкт-Петербургский государственный университет телекоммуникаций им.проф.М.А.Бонч-Бруевича,Уразов Р.Н.,Генеральный директор,заявлен указан адрес электрон почт направлен юридическ значим сообщен документ связа работ межвузовск координацион совет, 
Братышева Н.В.,72 Физическое лицо,Уразов Р.Н.,Генеральный директор,вх-об исключен команд чемпионат московск мастер компетенц туризм, 
Чупшева С.В.,Агентство стратегических инициатив по продвижению новых проектов,Глушко Д.Е.,Специалист по региональным чемпионатам,втор заседан рабоч групп систематизац результат апробац региональн стандарт кадров обеспечен промышлен рост, 
Багров Ю.Н.,"ГАПОУ ""Межрегиональный центр компетенций Казанский техникум информационных технологий и связи""",Уразов Р.Н.,Генеральный директор,приглашен участ торжествен ужин посвящен 85-лет мцк-ктитс, 
Ельцова Л.Ю.,51. Министерство труда и социальной защиты Российской Федерации,Гонтарь М.А.,Поздравления,участ отраслев чемпионат стандарт Worldskills сфер информацион технолог DigitalSkills, 
Якушев В.В.,Губернатор Тюменской области,Уразов Р.Н.,Генеральный директор,перенос заседан рабоч групп государствен совет рф вопрос развит региональн промышлен политик, 
Калугина К.Е.,Региональный координационный центр в Москве,Глушко Д.Е.,Специалист по региональным чемпионатам,электрон регистрац региональн чемпионат город москв систем сквозн мониторинг eSlim, 
Азимова И.,Министерство образования и науки Республики Северная Осетия-Алания,Глушко Д.Е.,Специалист по региональным чемпионатам,участ миров чемпионат профессиональн мастерств WorldSkills Competition 2019, 
Складчиков Дмитрий,72 Физическое лицо,Уразов Р.Н.,Генеральный директор,обращен содейств участ 5-ом региональн чемпионат челябинск област 2017 год внесен соответств изменен регламент чемпионат, 
Райдер А.В.,Департамент образования и науки Тюменской области,"Куколев С.В.
Судаков К.Ю.",Административный директор,согласован плана-график передач тренировочн полигон мцк тюменск област, 
Иванова Г.П.,"Департамент образования, науки и молодежной политики Воронежской области",Глушко Д.Е.,Специалист по региональным чемпионатам,участ миров чемпионат профессиональн мастерств WorldSkills Competition 2019, 
Кудряшов С.В.,Министерство образования и молодежной политики Чувашской республики,Глушко Д.Е.,Специалист по региональным чемпионатам,организац льготн проезд казан 2019, 
